Facility_Number,FAC_ID,Name,Type,Category,Area
081,HOWEY PHYSICS,"Howey, Joseph H.",BUILDING,M,136092.0
084,WEBER SST 1,"Weber, Paul Space Science & Technology (SST1)",BUILDING,M,51706.0
085,VAN LEER EE,"Van Leer, Blake R.",BUILDING,M,165607.0
086,BUNGER HENRY,Bunger-Henry,BUILDING,M,151265.0
095,PETTIT,"Pettit, Joseph M. Microelectronics Research",BUILDING,M,98420.0
098,WEBER SST 3,"Weber, Paul Space Science & Technology (SST3)",BUILDING,M,34411.0
099,BAKER,,,,
100,CROSSLAND GRAD,"Crosland, Dorothy M. Tower",BUILDING,M,126823.0
101,MONTGOMERY KNIG,"Knight, Montgomery Aerospace Engineering (SST2)",BUILDING,M,55402.0
103,BOGGS CHEM,"Boggs, Gilbert Hillhouse",BUILDING,M,154397.0
104,WENN STUDENT CT,John Lewis Student Center,BUILDING,M,107903.0
